iter	RMSE
126	230.3212274
127	229.823003
128	229.6534544
129	229.2696901
130	228.9379736
131	228.6167698
132	228.2170144
133	227.9102773
134	227.8010781
135	227.5885955
136	227.4935058
137	227.305188
138	227.2656376
139	227.2244503
140	226.8440292
141	226.7020444
142	226.3493409
143	226.0853698
144	225.9292039
145	225.6001611
146	225.4858535
147	225.22094
148	225.1871032
149	224.9962862
150	224.9213134
151	224.7864193
152	224.5457339
153	224.316215
154	223.9408596
155	223.9093628
156	223.6482693
157	223.6320945
158	223.1033614
159	223.029314
160	222.7144344
161	222.6331989
162	222.5764236
163	222.1729427
164	221.6654237
165	221.3729585
166	221.3379134
167	221.298688
168	221.0019765
169	220.7936715
170	220.3470876
171	220.0420221
172	219.8488891
173	219.7345095
174	219.1533012
175	218.7086714
176	218.5349129
177	218.3804982
178	218.3750787
179	218.0182532
180	217.8976527
181	217.7472472
182	217.532819
183	217.3281387
184	217.2911008
185	217.2404346
186	217.2319579
187	216.965343
188	216.8012547
189	216.547662
190	216.5194529
191	216.5163913
192	216.3182335
193	216.2268056
194	216.0982218
195	215.7352102
196	215.5699775
197	215.4950811
198	215.3057515
199	214.9714587
200	214.6527736
201	214.2859887
202	214.0100673
203	213.6293343
204	213.5319053
205	213.3035426
206	213.2994739
207	212.9495136
208	212.5876348
209	212.3965452
210	211.9504233
211	211.9126051
212	211.4199973
213	211.2686776
214	210.8651697
215	210.8447834
216	210.6423514
217	210.4631383
218	210.4590458
219	210.3418697
220	210.2797327
221	209.9801276
222	209.7406408
223	209.6889997
224	209.3051447
225	208.9323703
226	208.9080519
227	208.7307405
228	208.5266614
229	208.126569
230	208.1079833
231	208.0617516
232	207.9227811
233	207.9018461
234	207.6202011
235	207.4424344
236	207.3161883
237	207.2018505
238	207.1921974
239	206.8529296
240	206.3659253
241	206.2015673
242	205.9376242
243	205.8301221
244	205.6497258
245	205.3115087
246	205.24873
247	205.0178011
248	204.9486728
249	204.8657036
250	204.4527507
251	204.2043838
252	204.1956429
253	203.9615293
254	203.7272184
255	203.6443262
256	203.627666
257	203.3949101
258	203.1332559
259	202.7868362
260	202.5341958
261	202.473652
262	202.3182395
263	202.3072072
264	202.0578867
265	201.9493457
266	201.9331424
267	201.6181732
268	201.4386474
269	201.4323836
270	201.2441659
271	201.076251
272	201.0163179
273	200.758419
274	200.516741
275	200.402342
276	200.1540257
277	199.9028393
278	199.660101
279	199.4252047
280	199.0524112
281	198.8321239
282	198.5705689
283	198.451956
284	198.3292695
285	198.2161462
286	198.1257374
287	198.0133276
288	198.0072169
289	197.7736457
290	197.6261677
291	197.4017118
292	197.2139886
293	197.1263408
294	196.7998738
295	196.4882732
296	196.3117203
297	196.2685998
298	196.198102
299	196.0040963
300	195.7229401
301	195.6094105
302	195.4670062
303	195.382444
304	195.2912166
305	195.2029889
306	195.0006761
307	194.9804382
308	194.8658499
309	194.6701565
310	194.5279544
311	194.4791505
312	194.3062217
313	194.1989488
314	194.0033639
315	193.8957768
316	193.6549633
317	193.6187219
318	193.4851585
319	193.4051367
320	193.3171139
321	193.2319323
322	193.018912
323	192.9457955
324	192.7314504
325	192.6551412
326	192.5992773
327	192.5254882
328	192.4501394
329	192.3811139
330	192.3530327
331	192.2327338
332	192.1895367
333	192.113281
334	191.8201182
335	191.555193
336	191.3202852
337	191.085714
338	191.0708008
339	190.9755169
340	190.8283441
341	190.7452952
342	190.5655074
343	190.3480884
344	190.2736093
345	190.2507743
346	190.1761827
347	190.0824274
348	189.8903254
349	189.7697643
350	189.7618393
351	189.6228597
352	189.6087438
353	189.527304
354	189.5068664
355	189.4808634
356	189.4619412
357	189.2537434
358	189.1592594
359	189.1372656
360	188.9929059
361	188.9683553
362	188.9572788
363	188.909197
364	188.8285117
365	188.5658647
366	188.5192793
367	188.4753359
368	188.4609078
369	188.4476281
370	188.4408038
371	188.4278528
372	188.351296
373	188.1946657
374	187.9039296
375	187.7891641
376	187.782687
377	187.7118489
378	187.625149
379	187.5041605
380	187.4369766
381	187.3042799
382	187.2262013
383	187.2139403
384	187.1915573
385	187.1614254
386	187.0972622
387	187.0824358
388	187.0686011
389	187.0568927
390	187.0454763
391	187.0343441
392	186.8843063
393	186.752906
394	186.512133
395	186.3373065
396	186.1866883
397	185.9894557
398	185.9249408
399	185.8664432
400	185.8554966
401	185.6940019
402	185.6802855
403	185.6695998
404	185.5490631
405	185.5059773
406	185.3541998
407	185.2819433
408	185.1420286
409	185.0827401
410	185.0698773
411	185.0561727
412	185.0341587
413	185.0237302
414	184.9629991
415	184.9201576
416	184.9099811
417	184.872583
418	184.8626662
419	184.8529964
420	184.8435673
421	184.7884117
422	184.7823017
423	184.6635346
424	184.5377144
425	184.4327985
426	184.3193134
427	184.3079079
428	184.2031356
429	184.0926518
430	184.0873124
431	184.0823188
432	183.9712743
433	183.8747062
434	183.8634802
435	183.858769
436	183.7258267
437	183.5998664
438	183.4161549
439	183.3329521
440	183.1536715
441	183.1035647
442	183.0486682
443	183.0109291
444	182.9708091
445	182.8679845
446	182.8138205
447	182.8047717
448	182.8010366
449	182.7922133
450	182.7836096
451	182.6474768
452	182.6125039
453	182.5095361
454	182.5045052
455	182.4078776
456	182.278166
457	182.1688936
458	182.1328819
459	182.0888949
460	182.0457042
461	182.0134687
462	181.8150312
463	181.7391218
464	181.6272184
465	181.6015441
466	181.5333325
467	181.3936183
468	181.2685045
469	181.2293947
470	181.2212387
471	181.2132855
472	181.1692905
473	181.1615353
474	181.0668129
475	180.9297444
476	180.8408141
477	180.7593957
478	180.5551602
479	180.3958031
480	180.2791724
481	180.1422598
482	180.0559527
483	180.0008305
484	179.9934001
485	179.9154852
486	179.8070849
487	179.7258924
488	179.6572955
489	179.613248
490	179.4809316
491	179.3495841
492	179.2491836
493	179.1746451
494	179.1434415
495	178.9807947
496	178.9506042
497	178.8985285
498	178.8079246
499	178.6920299
500	178.6419434
501	178.6257883
502	178.6036662
503	178.5761948
504	178.409705
505	178.4013534
506	178.3418058
507	178.1916433
508	178.0393344
509	177.9171034
510	177.8877262
511	177.8017845
512	177.600348
513	177.4740131
514	177.4300867
515	177.342694
516	177.2282484
517	177.1891355
518	177.1717293
519	177.1207587
520	177.0091816
521	176.8723618
522	176.6943092
523	176.6655328
524	176.6325198
525	176.5674714
526	176.4879357
527	176.4485551
528	176.4164125
529	176.3017679
530	176.2473822
531	176.214851
532	176.1361638
533	176.1095205
534	176.0043383
535	175.9970258
536	175.9898952
537	175.960407
538	175.8507824
539	175.7394406
540	175.6585834
541	175.5930301
542	175.5659976
543	175.4940327
544	175.3170268
545	175.1562765
546	175.1428836
547	175.1361191
548	174.9573328
549	174.9508966
550	174.9033949
551	174.8503382
552	174.8440566
553	174.7596574
554	174.7535192
555	174.7458087
556	174.6132694
557	174.6058966
558	174.5592662
559	174.5521705
560	174.4853304
561	174.359959
562	174.3402443
563	174.274787
564	174.1902254
565	174.1194348
566	174.1138329
567	173.960954
568	173.9551466
569	173.780262
570	173.7681282
571	173.671265
572	173.5058753
573	173.3421162
574	173.3353157
575	173.3241123
576	173.3175589
577	173.3031593
578	173.165161
579	173.0105486
580	172.9688114
581	172.863287
582	172.7117041
583	172.5832962
584	172.5782447
585	172.4346888
586	172.3934711
587	172.3885364
588	172.2775341
589	172.2163917
590	172.1500493
591	172.1264369
592	172.0780169
593	172.0317621
594	171.9246543
595	171.919853
596	171.7655705
597	171.7073942
598	171.5896393
599	171.4338873
600	171.3815444
601	171.3268485
602	171.275515
603	171.2625807
604	171.2579025
605	171.2192003
606	171.0990107
607	171.066065
608	171.0206797
609	170.8836015
610	170.7721813
611	170.6930207
612	170.593991
613	170.5436648
614	170.4750814
615	170.3885443
616	170.2641086
617	170.1162209
618	170.0056729
619	169.9472087
620	169.7897288
621	169.6054632
622	169.5326247
623	169.4362066
624	169.3654805
625	169.2769267
626	169.1961294
627	169.112731
628	169.1082042
629	168.9241535
630	168.8274568
631	168.7005213
632	168.6740291
633	168.6189843
634	168.6146064
635	168.5630489
636	168.3883277
637	168.3839104
638	168.3155727
639	168.2654751
640	168.2136733
641	168.1156573
642	168.0521433
643	168.0483798
644	167.9734335
645	167.9364004
646	167.8879034
647	167.835739
648	167.7690837
649	167.6133911
650	167.5488536
651	167.4095041
652	167.2638921
653	167.2281149
654	167.1536227
655	167.1502443
656	166.9956203
657	166.8837881
658	166.7950905
659	166.791586
660	166.7883694
661	166.7679856
662	166.6624863
663	166.5930492
664	166.5471983
665	166.4209711
666	166.3314007
667	166.2798045
668	166.2308271
669	166.1850874
670	166.1753698
671	165.9953242
672	165.9319638
673	165.8691418
674	165.7987206
675	165.73609
676	165.6334554
677	165.5872011
678	165.4749899
679	165.4192045
680	165.2676344
681	165.2637223
682	165.1319537
683	165.0717254
684	164.9810736
685	164.9717392
686	164.8333449
687	164.7000193
688	164.6288601
689	164.5675417
690	164.5255394
691	164.4645106
692	164.4227687
693	164.3339674
694	164.2963154
695	164.1561166
696	164.1244656
697	164.095053
698	163.9769055
699	163.9402245
700	163.9271171
701	163.879867
702	163.8100725
703	163.7131004
704	163.6441969
705	163.5446818
706	163.3804979
707	163.37703
708	163.2901509
709	163.2686134
710	163.2566021
711	163.1918514
712	163.0853182
713	163.0821229
714	163.080021
715	163.0554577
716	162.9556133
717	162.8011571
718	162.7405578
719	162.652953
720	162.5710389
721	162.510135
722	162.5020818
723	162.3784378
724	162.2553204
725	162.1851645
726	162.1216734
727	162.0778569
728	161.9793582
729	161.9765017
730	161.8908138
731	161.8326803
732	161.7522396
733	161.6725209
734	161.5752364
735	161.5730774
736	161.540601
737	161.5376033
738	161.5085143
739	161.2849556
740	161.2123632
741	161.1167807
742	161.0356347
743	160.9211138
744	160.9015944
745	160.8472459
746	160.8451745
747	160.8374548
748	160.8300223
749	160.7771359
750	160.7178406
751	160.7025933
752	160.5999983
753	160.5528431
754	160.3474594
755	160.2621238
756	160.2602224
757	160.1882586
758	160.0728921
759	159.8862085
760	159.835241
761	159.7564024
762	159.6656579
763	159.6179206
764	159.5669167
765	159.5650551
766	159.5632408
767	159.4407206
768	159.4391875
769	159.3870359
770	159.3449608
771	159.2383562
772	159.1802853
773	159.1573378
774	159.0198364
775	159.0009956
776	158.9965517
777	158.9585793
778	158.8571475
779	158.8514468
780	158.8238415
781	158.7512562
782	158.59882
783	158.4867028
784	158.4017759
785	158.3275321
786	158.2578827
787	158.2024943
788	158.1672693
789	158.1427775
790	158.0817499
791	158.0513066
792	157.9191763
793	157.8400073
794	157.7980829
795	157.7348763
796	157.6418313
797	157.6352745
798	157.5958206
799	157.5383332
800	157.3947645
801	157.298797
802	157.2531247
803	157.19401
804	157.1737875
805	156.9938575
806	156.9122473
807	156.8744105
808	156.8282655
809	156.7631092
810	156.6925698
811	156.64126
812	156.4748811
813	156.4413584
814	156.4227179
815	156.3423201
816	156.3126986
817	156.2114805
818	156.1899749
819	156.1737915
820	156.1418645
821	156.0941531
822	155.8934903
823	155.8673534
824	155.6649023
825	155.6335595
826	155.4811149
827	155.4032128
828	155.3441977
829	155.2933815
830	155.2321591
831	155.2171358
832	155.1857975
833	155.0638481
834	155.0093848
835	154.9725113
836	154.8843099
837	154.836221
838	154.7446482
839	154.6209731
840	154.4653352
841	154.4384144
842	154.3919249
843	154.2237383
844	154.0808097
845	153.9999994
846	153.8264399
847	153.7688734
848	153.6900918
849	153.6452525
850	153.5605162
851	153.4847541
852	153.4027427
853	153.3086931
854	153.2272878
855	153.1914354
856	153.1675318
857	153.12394
858	153.0702364
859	152.9989712
860	152.9357567
861	152.8936877
862	152.8204974
863	152.7296073
864	152.6795757
865	152.6358806
866	152.5657234
867	152.5263593
868	152.4677855
869	152.4560768
870	152.4208742
871	152.3837657
872	152.3041787
873	152.260067
874	152.2317474
875	152.2258686
876	152.161638
877	152.136186
878	152.05961
879	152.0021111
880	151.9007776
881	151.7899765
882	151.7182868
883	151.7121845
884	151.7015171
885	151.5989782
886	151.5389993
887	151.525089
888	151.4941111
889	151.4163473
890	151.2671143
891	151.2265155
892	151.1522623
893	151.1253377
894	151.0663206
895	151.0132258
896	150.9956228
897	150.9314228
898	150.9107014
899	150.8181875
900	150.7736633
901	150.7332878
902	150.717526
903	150.6802879
904	150.6049912
905	150.5324981
906	150.5170526
907	150.47084
908	150.444872
909	150.4068685
910	150.3526434
911	150.2923813
912	150.2638955
913	150.1900445
914	150.1408815
915	150.085524
916	150.024986
917	149.9899746
918	149.9665399
919	149.9303355
920	149.8330891
921	149.822458
922	149.8153024
923	149.7764439
924	149.7738667
925	149.7298545
926	149.6768269
927	149.6699872
928	149.6358445
929	149.6142102
930	149.5635794
931	149.5334045
932	149.5113935
933	149.4310194
934	149.4209968
935	149.2726429
936	149.2519995
937	149.1688972
938	149.1408932
939	149.0612945
940	148.9206474
941	148.9002433
942	148.8621621
943	148.5420764
944	148.5140946
945	148.485454
946	148.4593319
947	148.1587315
948	148.0881783
949	147.9684037
950	147.8773006
951	147.852594
952	147.8036537
953	147.7975568
954	147.7493679
955	147.7355524
956	147.5964081
957	147.5537036
958	147.539107
959	147.4680107
960	147.45996
961	147.4178644
962	147.4062928
963	147.3968814
964	147.2391156
965	147.1163468
966	147.0841794
967	147.0454161
968	146.7559024
969	146.7500887
970	146.5066446
971	146.4834054
972	146.3715772
973	146.3038325
974	146.2934067
975	146.2811131
976	146.0445354
977	145.9458502
978	145.9003648
979	145.8724538
980	145.8419039
981	145.7989097
982	145.7700015
983	145.7153776
984	145.6685495
985	145.6321081
986	145.4765505
987	145.3735757
988	145.3290636
989	145.2819262
990	145.175572
991	145.1448255
992	145.1249006
993	145.0887799
994	144.9410564
995	144.8862173
996	144.8441015
997	144.7777789
998	144.750711
999	144.698795
