iter	Passed	Remaining
177	31346	144755
178	31486	144417
179	31678	144315
180	31889	144294
181	32096	144256
182	32271	144076
183	32456	143939
184	32641	143797
185	32790	143501
186	32884	142968
187	33053	142764
188	33251	142681
189	33454	142621
190	33619	142399
191	33741	141997
192	33965	142021
193	34144	141856
194	34338	141754
195	34502	141530
196	34673	141333
197	34868	141234
198	35057	141109
199	35277	141110
200	35466	140981
201	35664	140892
202	35835	140695
203	35989	140430
204	36133	140128
205	36302	139923
206	36438	139591
207	36640	139515
208	36873	139556
209	37085	139513
210	37247	139282
211	37419	139087
212	37624	139016
213	37776	138747
214	37939	138524
215	38099	138288
216	38239	137980
217	38423	137831
218	38509	137331
219	38690	137176
220	38871	137018
221	39058	136881
222	39237	136716
223	39448	136662
224	39620	136470
225	39794	136286
226	39931	135977
227	40129	135875
228	40302	135690
229	40458	135447
230	40592	135131
231	40769	134959
232	40905	134655
233	41085	134492
234	41266	134334
235	41460	134219
236	41656	134110
237	41845	133974
238	42013	133775
239	42201	133638
240	42391	133507
241	42542	133251
242	42707	133043
243	42882	132865
244	43031	132608
245	43202	132418
246	43383	132259
247	43560	132088
248	43770	132014
249	43967	131903
250	44137	131709
251	44302	131501
252	44522	131454
253	44649	131136
254	44834	130986
255	44994	130766
256	45145	130518
257	45281	130229
258	45465	130077
259	45660	129955
260	45865	129864
261	46025	129645
262	46161	129357
263	46319	129132
264	46476	128906
265	46671	128785
266	46775	128414
267	46918	128149
268	47077	127931
269	47251	127752
270	47414	127545
271	47595	127389
272	47749	127155
273	47913	126954
274	48101	126811
275	48262	126601
276	48405	126342
277	48575	126156
278	48761	126011
279	48931	125823
280	49105	125645
281	49268	125443
282	49426	125226
283	49554	124932
284	49744	124798
285	49961	124728
286	50126	124529
287	50301	124357
288	50458	124139
289	50646	123995
290	50844	123879
291	51022	123710
292	51218	123587
293	51390	123407
294	51564	123229
295	51725	123023
296	51879	122798
297	52019	122543
298	52183	122342
299	52380	122220
300	52526	121980
301	52707	121820
302	52892	121671
303	53074	121513
304	53257	121356
305	53441	121203
306	53634	121069
307	53809	120897
308	54007	120774
309	54177	120588
310	54352	120414
311	54534	120255
312	54677	120011
313	54854	119841
314	55056	119726
315	55223	119533
316	55407	119379
317	55570	119178
318	55710	118929
319	55895	118778
320	56070	118604
321	56220	118377
322	56400	118213
323	56560	118008
324	56739	117843
325	56919	117679
326	57055	117426
327	57239	117271
328	57358	116983
329	57471	116685
330	57629	116477
331	57817	116332
332	57992	116159
333	58180	116013
334	58384	115896
335	58576	115757
336	58728	115540
337	58887	115335
338	59070	115179
339	59234	114984
340	59380	114755
341	59530	114536
342	59724	114398
343	59893	114215
344	60087	114078
345	60276	113932
346	60518	113886
347	60674	113678
348	60874	113551
349	61071	113418
350	61205	113168
351	61381	112997
352	61567	112844
353	61772	112725
354	61941	112542
355	62110	112357
356	62234	112092
357	62421	111940
358	62560	111702
359	62685	111441
360	62889	111320
361	63059	111138
362	63236	110969
363	63436	110839
364	63608	110661
365	63780	110482
366	63961	110320
367	64101	110087
368	64216	109811
369	64402	109659
370	64525	109396
371	64694	109214
372	64878	109058
373	65083	108936
374	65271	108785
375	65462	108640
376	65619	108438
377	65865	108381
378	66057	108237
379	66255	108100
380	66434	107934
381	66626	107788
382	66838	107675
383	67033	107533
384	67200	107346
385	67413	107232
386	67597	107073
387	67750	106864
388	67869	106602
389	68036	106416
390	68225	106264
391	68368	106041
392	68530	105847
393	68742	105731
394	68912	105548
395	69092	105383
396	69292	105247
397	69470	105078
398	69679	104955
399	69838	104757
400	70040	104624
401	70251	104503
402	70454	104370
403	70556	104087
404	70729	103911
405	70854	103664
406	71064	103541
407	71254	103388
408	71410	103186
409	71594	103026
410	71718	102779
411	71898	102612
412	72029	102376
413	72158	102137
414	72357	101997
415	72555	101857
416	72665	101591
417	72879	101472
418	73002	101227
419	73123	100980
420	73237	100723
421	73433	100579
422	73541	100315
423	73714	100139
424	73864	99934
425	74060	99791
426	74264	99656
427	74441	99486
428	74661	99374
429	74846	99215
430	75005	99021
431	75141	98797
432	75289	98589
433	75461	98413
434	75597	98189
435	75782	98030
436	75958	97860
437	76142	97699
438	76383	97611
439	76570	97453
440	76730	97261
441	76921	97108
442	77096	96936
443	77264	96754
444	77428	96567
445	77621	96418
446	77781	96226
447	77981	96084
448	78159	95914
449	78368	95784
450	78482	95536
451	78680	95391
452	78862	95227
453	79016	95028
454	79159	94817
455	79341	94653
456	79521	94485
457	79708	94327
458	79910	94186
459	80115	94048
460	80307	93894
461	80461	93697
462	80641	93529
463	80788	93324
464	80999	93192
465	81122	92960
466	81292	92780
467	81466	92606
468	81654	92448
469	81843	92291
470	82042	92144
471	82204	91957
472	82312	91709
473	82435	91478
474	82614	91310
475	82785	91133
476	82910	90906
477	83096	90745
478	83276	90578
479	83398	90348
480	83587	90191
481	83758	90014
482	83925	89833
483	84105	89666
484	84227	89437
485	84439	89304
486	84616	89134
487	84827	88999
488	84967	88789
489	85152	88627
490	85326	88454
491	85500	88281
492	85673	88106
493	85869	87955
494	86023	87760
495	86189	87579
496	86303	87345
497	86489	87184
498	86680	87028
499	86819	86819
500	87018	86671
501	87203	86508
502	87326	86284
503	87523	86133
504	87707	85970
505	87877	85793
506	88008	85578
507	88185	85408
508	88370	85245
509	88537	85065
510	88690	84872
511	88860	84694
512	88992	84482
513	89178	84320
514	89331	84127
515	89491	83941
516	89677	83779
517	89834	83590
518	90013	83422
519	90185	83247
520	90331	83049
521	90470	82844
522	90642	82670
523	90805	82487
524	90965	82301
525	91152	82141
526	91318	81961
527	91486	81783
528	91664	81614
529	91849	81451
530	92041	81295
531	92173	81085
532	92371	80933
533	92572	80784
534	92777	80638
535	92953	80467
536	93140	80305
537	93310	80129
538	93493	79963
539	93684	79804
540	93895	79663
541	94062	79484
542	94199	79279
543	94380	79113
544	94561	78945
545	94718	78758
546	94856	78555
547	95033	78385
548	95215	78219
549	95336	78002
550	95525	77841
551	95719	77685
552	95838	77468
553	96051	77326
554	96234	77160
555	96340	76933
556	96536	76778
557	96716	76610
558	96931	76470
559	97101	76294
560	97262	76111
561	97439	75940
562	97653	75798
563	97844	75638
564	98023	75469
565	98198	75296
566	98376	75126
567	98553	74956
568	98748	74799
569	98919	74623
570	99051	74418
571	99234	74252
572	99415	74084
573	99592	73913
574	99781	73751
575	99939	73566
576	100112	73392
577	100243	73188
578	100411	73010
579	100560	72819
580	100794	72690
581	101009	72546
582	101196	72382
583	101368	72207
584	101567	72052
585	101682	71836
586	101853	71661
587	102021	71484
588	102182	71302
589	102369	71138
590	102539	70962
591	102735	70803
592	102936	70649
593	103132	70491
594	103316	70324
595	103504	70160
596	103702	70003
597	103908	69851
598	104063	69664
599	104231	69487
600	104414	69319
601	104584	69144
602	104791	68992
603	104922	68790
604	105106	68623
605	105288	68454
606	105486	68297
607	105689	68141
608	105892	67986
609	106087	67826
610	106268	67657
611	106463	67496
612	106620	67311
613	106774	67125
614	106908	66926
615	107091	66758
616	107236	66566
617	107406	66390
618	107535	66188
619	107702	66011
620	107909	65857
621	108091	65688
622	108321	65549
623	108468	65359
624	108646	65188
625	108806	65005
626	108996	64841
627	109137	64648
628	109319	64479
629	109507	64313
630	109672	64135
631	109862	63970
632	110078	63821
633	110264	63654
634	110444	63483
635	110635	63319
636	110823	63153
637	111021	62993
638	111158	62798
639	111313	62613
640	111520	62458
641	111700	62287
642	111813	62080
643	111971	61897
644	112130	61715
645	112318	61549
646	112502	61380
647	112668	61202
648	112872	61044
649	113033	60864
650	113248	60712
651	113434	60544
652	113652	60394
653	113856	60235
654	114038	60066
655	114231	59901
656	114414	59732
657	114609	59568
658	114719	59361
659	114914	59198
660	115094	59027
661	115234	58835
662	115444	58679
663	115634	58513
664	115793	58332
665	115936	58142
666	116111	57968
667	116260	57782
668	116507	57644
669	116629	57444
670	116758	57248
671	116926	57071
672	117102	56898
673	117267	56719
674	117454	56552
675	117644	56385
676	117843	56223
677	118043	56062
678	118232	55894
679	118406	55720
680	118568	55540
681	118731	55361
682	118909	55189
683	119108	55026
684	119250	54837
685	119422	54662
686	119570	54476
687	119784	54320
688	119972	54152
689	120167	53988
690	120355	53820
691	120476	53622
692	120677	53460
693	120814	53269
694	121003	53102
695	121166	52923
696	121357	52756
697	121483	52561
698	121668	52392
699	121830	52212
700	121949	52015
701	122154	51854
702	122325	51679
703	122505	51508
704	122671	51330
705	122803	51138
706	122973	50963
707	123143	50788
708	123347	50626
709	123563	50469
710	123702	50281
711	123925	50127
712	124097	49952
713	124251	49770
714	124401	49586
715	124594	49420
716	124785	49252
717	124926	49065
718	125123	48900
719	125276	48718
720	125432	48537
721	125608	48364
722	125755	48180
723	125971	48022
724	126155	47852
725	126282	47660
726	126501	47503
727	126695	47336
728	126868	47162
729	126987	46967
730	127206	46810
731	127409	46647
732	127601	46479
733	127805	46316
734	128008	46152
735	128196	45983
736	128401	45820
737	128548	45636
738	128675	45445
739	128885	45284
740	129087	45119
741	129253	44942
742	129453	44777
743	129669	44617
744	129870	44452
745	130026	44271
746	130162	44084
747	130296	43896
748	130435	43710
749	130636	43545
750	130824	43375
751	131016	43207
752	131212	43040
753	131388	42866
754	131582	42698
755	131780	42532
756	131910	42343
757	132050	42158
758	132185	41971
759	132378	41803
760	132515	41618
761	132687	41443
762	132847	41264
763	133037	41095
764	133185	40913
765	133306	40722
766	133438	40536
767	133614	40362
768	133739	40174
769	133915	40000
770	134102	39830
771	134302	39664
772	134465	39487
773	134672	39323
774	134890	39161
775	135178	39020
776	135374	38852
777	135603	38694
778	135825	38533
779	136050	38373
780	136255	38207
781	136470	38044
782	136709	37887
783	136901	37717
784	137116	37554
785	137329	37389
786	137456	37202
787	137668	37037
788	137854	36865
789	138087	36706
790	138283	36537
791	138469	36365
792	138659	36194
793	138825	36017
794	139007	35844
795	139184	35670
796	139358	35495
797	139534	35320
798	139741	35154
799	139901	34975
800	140078	34801
801	140326	34644
802	140551	34481
803	140719	34304
804	140909	34133
805	141116	33965
806	141296	33792
807	141491	33621
808	141702	33455
809	141924	33290
810	142110	33118
811	142301	32946
812	142537	32785
813	142727	32613
814	142926	32443
815	143109	32269
816	143254	32087
817	143440	31914
818	143644	31745
819	143773	31560
820	143952	31385
821	144119	31208
822	144286	31031
823	144414	30845
824	144575	30667
825	144701	30481
826	144824	30295
827	145007	30122
828	145207	29952
829	145418	29784
830	145613	29613
831	145890	29458
832	146094	29289
833	146219	29103
834	146437	28936
835	146673	28773
836	146854	28598
837	147058	28428
838	147260	28258
839	147454	28086
840	147636	27912
841	147811	27736
842	148001	27563
843	148176	27388
844	148325	27207
845	148444	27021
846	148638	26849
847	148764	26665
848	148977	26496
849	149161	26322
850	149377	26154
851	149606	25987
852	149814	25817
853	150005	25644
854	150137	25461
855	150345	25291
856	150465	25106
857	150669	24935
858	150873	24765
859	151126	24602
860	151337	24431
861	151547	24261
862	151717	24084
863	151924	23914
864	152120	23741
865	152326	23570
866	152497	23393
867	152634	23211
868	152817	23036
869	153002	22862
870	153191	22688
871	153348	22509
872	153555	22338
873	153735	22163
874	153945	21992
875	154086	21811
876	154291	21639
877	154497	21467
878	154708	21296
879	154858	21117
880	155104	20950
881	155285	20775
882	155498	20603
883	155687	20429
884	155878	20255
885	156065	20080
886	156273	19908
887	156491	19737
888	156699	19565
889	156927	19395
890	157111	19220
891	157319	19047
892	157542	18876
893	157718	18700
894	157915	18526
895	158134	18354
896	158338	18181
897	158554	18009
898	158764	17836
899	158983	17664
900	159158	17487
901	159380	17316
902	159555	17139
903	159695	16958
904	159926	16787
905	160143	16615
906	160344	16441
907	160550	16267
908	160736	16091
909	160896	15912
910	161096	15738
911	161298	15563
912	161504	15389
913	161683	15213
914	161895	15039
915	162130	14867
916	162364	14696
917	162554	14520
918	162748	14344
919	162957	14170
920	163182	13997
921	163316	13816
922	163508	13640
923	163710	13465
924	163834	13283
925	163953	13102
926	164098	12922
927	164232	12742
928	164361	12561
929	164536	12384
930	164654	12203
931	164867	12028
932	165044	11852
933	165258	11677
934	165406	11498
935	165619	11324
936	165788	11146
937	166000	10972
938	166198	10796
939	166352	10618
940	166561	10443
941	166696	10263
942	166902	10088
943	167121	9914
944	167359	9740
945	167524	9562
946	167639	9382
947	167845	9206
948	168051	9031
949	168250	8855
950	168462	8679
951	168674	8504
952	168890	8329
953	169046	8151
954	169251	7975
955	169468	7799
956	169673	7623
957	169872	7447
958	170089	7271
959	170299	7095
960	170481	6918
961	170654	6741
962	170804	6562
963	170965	6384
964	171180	6208
965	171353	6031
966	171504	5852
967	171682	5675
968	171867	5498
969	172032	5320
970	172244	5144
971	172447	4967
972	172717	4792
973	172966	4617
974	173174	4440
975	173310	4261
976	173423	4082
977	173598	3905
978	173802	3728
979	174043	3551
980	174330	3376
981	174586	3200
982	174739	3021
983	174921	2844
984	175227	2668
985	175574	2492
986	175833	2315
987	175985	2137
988	176237	1960
989	176479	1782
990	176755	1605
991	177006	1427
992	177224	1249
993	177362	1070
994	177590	892
995	177779	713
996	178013	535
997	178201	357
998	178335	178
999	178478	0
